Country.of.Origin,Processing.Method,altitude_mean_meters,Category.One.Defects,Category.Two.Defects,Moisture,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Total.Cup.Points,Specialty_Grade
Costa Rica,Washed / Wet,1300.0,0,3,0.1,7.83,7.33,7.5,7.67,7.58,7.67,83.08,1
United States (Hawaii),Natural / Dry,1310.64,0,8,0.12,7.33,7.75,7.58,7.33,7.83,7.67,83.08,1
Taiwan,Other,1300.0,0,0,0.11,7.75,7.75,7.5,7.5,7.5,7.5,83.08,1
United States (Hawaii),Natural / Dry,1310.64,0,0,0.1,7.83,7.83,7.33,7.17,7.75,7.67,83.08,1
Mexico,Washed / Wet,1400.0,0,1,0.1,7.75,7.67,7.42,7.75,7.5,7.5,83.08,1
United States (Hawaii),Natural / Dry,1310.64,1,4,0.0,7.67,7.58,7.5,7.67,7.92,8.0,83.08,1
United States (Hawaii),Washed / Wet,1310.64,0,0,0.12,7.33,7.58,7.58,7.92,7.67,7.58,83.08,1
Colombia,Washed / Wet,1775.0,0,0,0.01,7.33,7.33,7.33,7.58,7.25,8.08,83.08,1
Colombia,Washed / Wet,1880.0,1,3,0.08,7.83,7.75,7.33,7.25,7.42,7.92,83.08,1
Indonesia,Washed / Wet,1350.0,0,0,0.0,7.67,7.58,7.5,7.58,7.67,7.58,83.08,1
Guatemala,Washed / Wet,1310.64,0,1,0.02,7.92,7.67,7.67,7.25,7.83,7.67,83.08,1
Brazil,Natural / Dry,890.0,0,4,0.0,7.58,7.5,7.5,7.75,7.67,7.5,83.0,1
Brazil,Natural / Dry,894.0,0,5,0.11,7.5,7.58,7.58,7.67,7.58,7.5,83.0,1
Brazil,Natural / Dry,872.0,0,3,0.11,7.5,7.67,7.58,7.67,7.58,7.42,83.0,1
Uganda,Washed / Wet,1473.0,0,6,0.12,7.67,7.58,7.42,7.42,7.83,7.5,83.0,1
Uganda,Natural / Dry,1645.0,0,8,0.12,7.67,7.67,7.5,7.58,7.42,7.5,83.0,1
Colombia,Washed / Wet,442.0,0,4,0.11,7.67,7.67,7.33,7.67,7.5,7.58,83.0,1
Vietnam,Other,1550.0,0,0,0.0,7.75,7.67,7.58,7.58,7.42,7.67,83.0,1
Guatemala,Washed / Wet,1550.0,0,3,0.11,7.67,7.75,7.33,7.92,7.42,7.5,83.0,1
Guatemala,Washed / Wet,1371.6,0,2,0.11,7.75,7.67,7.33,7.75,7.5,7.42,83.0,1
Guatemala,Washed / Wet,1500.0,0,2,0.11,7.83,7.67,7.25,7.67,7.75,7.5,83.0,1
Brazil,Natural / Dry,1000.0,0,0,0.0,7.67,7.67,7.67,7.5,7.42,7.5,83.0,1
Taiwan,Washed / Wet,1200.0,0,0,0.08,7.92,7.92,7.83,7.58,7.33,7.25,83.0,1
Uganda,Washed / Wet,1800.0,0,0,0.12,7.83,7.58,7.5,7.5,7.58,7.5,83.0,1
United States (Puerto Rico),Washed / Wet,853.44,0,0,0.0,7.67,7.5,7.67,7.83,7.75,7.83,83.0,1
Guatemala,Washed / Wet,1500.0,1,0,0.1,7.67,7.67,7.42,7.83,7.5,7.5,83.0,1
Costa Rica,Washed / Wet,1200.0,0,3,0.11,7.67,7.58,7.5,7.58,7.5,7.5,83.0,1
Brazil,Semi-washed / Semi-pulped,1250.0,0,4,0.12,7.75,7.58,7.42,7.67,7.42,7.67,83.0,1
Colombia,Washed / Wet,1775.0,1,1,0.11,7.75,7.42,7.33,7.5,7.58,7.17,83.0,1
Colombia,Washed / Wet,1750.0,0,0,0.0,7.83,7.5,7.58,7.33,7.5,7.67,83.0,1
Colombia,Natural / Dry,1000.0,0,1,0.11,7.33,7.67,7.75,7.42,7.75,7.58,83.0,1
Colombia,Natural / Dry,1000.0,0,2,0.0,7.58,7.75,7.42,7.67,7.58,7.42,83.0,1
Colombia,Washed / Wet,1775.0,1,2,0.11,7.5,7.5,7.42,7.58,7.75,7.58,83.0,1
Mexico,Washed / Wet,750.0,0,20,0.11,7.67,7.58,7.42,7.5,7.67,7.58,83.0,1
Mexico,Semi-washed / Semi-pulped,1200.0,0,7,0.11,7.67,7.83,7.5,7.58,7.58,7.67,83.0,1
Mexico,Washed / Wet,1200.0,5,8,0.11,7.5,7.67,7.5,7.5,7.58,7.58,83.0,1
Colombia,Natural / Dry,1310.64,1,4,0.0,7.67,7.58,7.5,7.5,7.75,7.5,83.0,1
Colombia,Washed / Wet,1625.0,0,4,0.0,7.75,7.58,7.5,7.67,7.83,7.75,83.0,1
Colombia,Washed / Wet,1750.0,0,0,0.11,7.67,7.58,7.58,7.58,7.67,7.42,83.0,1
Guatemala,Washed / Wet,1371.6,0,2,0.1,7.5,7.67,7.5,7.67,7.5,7.83,83.0,1
Colombia,Washed / Wet,1775.0,0,0,0.12,7.67,7.67,7.58,7.5,7.67,7.42,83.0,1
Thailand,Washed / Wet,1310.64,0,0,0.28,7.33,7.67,7.58,7.5,7.75,7.67,83.0,1
Colombia,Washed / Wet,1450.0,0,1,0.08,7.33,7.67,7.58,7.33,7.58,7.92,83.0,1
United States (Hawaii),Washed / Wet,1310.64,0,0,0.0,7.83,7.83,7.67,7.83,7.92,7.83,83.0,1
United States (Hawaii),Washed / Wet,1310.64,0,1,0.0,7.5,7.58,7.42,7.58,7.58,7.67,83.0,1
Colombia,Washed / Wet,1800.0,0,2,0.06,7.5,7.58,7.67,7.67,7.58,7.58,83.0,1
Nicaragua,Washed / Wet,1310.64,0,0,0.07,7.58,7.83,7.75,7.92,7.92,8.08,83.0,1
Thailand,Washed / Wet,1310.64,0,0,0.0,7.5,7.25,7.42,7.75,8.17,7.5,83.0,1
Brazil,Natural / Dry,890.0,0,0,0.0,7.67,7.58,7.5,7.58,7.58,7.5,82.92,1
El Salvador,Washed / Wet,1350.0,0,1,0.0,7.5,7.5,7.75,7.58,7.92,7.83,82.92,1
Colombia,Washed / Wet,1500.0,0,1,0.11,7.58,7.67,7.5,7.33,7.67,7.58,82.92,1
Taiwan,Natural / Dry,350.0,31,0,0.09,7.17,7.83,7.25,7.67,7.67,7.58,82.92,1
Ethiopia,Washed / Wet,2000.0,1,20,0.0,7.58,7.58,7.5,7.5,7.58,7.58,82.92,1
Taiwan,Natural / Dry,775.0,0,9,0.0,7.5,7.58,7.67,7.33,7.5,7.75,82.92,1
Philippines,Washed / Wet,1200.0,0,1,0.11,7.58,7.58,7.67,7.58,7.5,7.5,82.92,1
Philippines,Washed / Wet,1600.0,0,0,0.0,8.08,7.5,7.67,7.42,7.33,7.5,82.92,1
Mexico,Natural / Dry,1059.0,0,3,0.13,7.83,7.67,7.25,7.58,7.5,7.5,82.92,1
Mexico,Washed / Wet,1300.0,2,8,0.12,7.75,7.67,7.42,7.42,7.75,7.5,82.92,1
Brazil,Semi-washed / Semi-pulped,11000.0,0,16,0.11,7.08,7.5,7.5,7.83,7.75,7.67,82.92,1
Uganda,Washed / Wet,1650.0,0,0,0.12,8.0,7.5,7.5,7.58,7.33,7.42,82.92,1
Uganda,Washed / Wet,1400.0,0,4,0.12,7.75,7.58,7.58,7.5,7.5,7.5,82.92,1
Guatemala,Washed / Wet,1500.0,0,1,0.1,7.75,7.5,7.42,7.58,7.67,7.5,82.92,1
Guatemala,Natural / Dry,1500.0,0,2,0.1,7.67,7.83,7.42,7.5,7.33,7.5,82.92,1
Guatemala,Washed / Wet,1310.64,0,4,0.1,7.58,7.58,7.25,7.58,7.58,7.58,82.92,1
Colombia,Washed / Wet,1900.0,0,2,0.11,7.58,7.5,7.75,7.33,7.58,7.58,82.92,1
Colombia,Natural / Dry,1750.0,0,0,0.0,7.75,7.5,7.25,7.5,7.75,7.5,82.92,1
Guatemala,Washed / Wet,1706.88,0,2,0.11,7.83,7.75,7.25,7.92,7.5,7.17,82.92,1
Colombia,Washed / Wet,1450.0,3,5,0.11,7.83,7.67,7.42,7.42,7.5,7.58,82.92,1
Mexico,Natural / Dry,1248.0,0,4,0.1,7.58,7.58,7.33,7.25,7.58,7.75,82.92,1
Vietnam,Natural / Dry,1040.0,0,17,0.0,7.67,7.33,7.17,7.58,8.08,7.42,82.92,1
Mexico,Washed / Wet,1400.0,1,4,0.14,8.0,7.92,7.67,7.17,7.67,7.42,82.92,1
United States (Hawaii),Washed / Wet,1310.64,0,0,0.1,7.5,7.5,7.5,7.42,7.67,7.83,82.92,1
Colombia,Washed / Wet,1450.0,0,0,0.15,7.5,7.75,7.33,7.75,7.08,7.83,82.92,1
Thailand,Washed / Wet,1310.64,0,0,0.0,7.42,7.58,7.5,7.17,7.5,8.0,82.92,1
Kenya,Washed / Wet,1754.0,0,3,0.1,7.75,7.58,7.42,7.58,7.5,7.5,82.83,1
Guatemala,Washed / Wet,1700.0,1,2,0.11,7.5,7.58,7.33,7.67,7.58,7.58,82.83,1
Brazil,Pulped natural / honey,905.0,0,2,0.11,7.67,7.58,7.58,7.5,7.5,7.42,82.83,1
El Salvador,Washed / Wet,1250.0,0,4,0.0,7.33,7.67,7.67,7.83,7.33,7.67,82.83,1
Rwanda,Washed / Wet,1900.0,0,0,0.11,7.83,7.92,7.75,7.83,7.75,7.75,82.83,1
Vietnam,Other,1040.0,11,0,0.11,7.25,7.58,7.5,7.42,7.75,7.42,82.83,1
Guatemala,Washed / Wet,1219.2,0,2,0.11,7.58,7.58,7.33,7.67,7.67,7.5,82.83,1
Brazil,Natural / Dry,900.0,2,6,0.12,7.58,7.83,7.33,7.67,7.42,7.33,82.83,1
Colombia,Washed / Wet,1600.0,0,1,0.0,7.83,7.67,7.5,7.58,7.5,7.67,82.83,1
United States,Other,1200.0,0,9,0.0,7.42,7.58,7.25,7.5,7.75,7.75,82.83,1
Guatemala,Washed / Wet,1500.0,0,4,0.1,7.67,7.67,7.75,7.67,7.42,7.17,82.83,1
Colombia,Natural / Dry,1800.0,4,4,0.0,7.5,7.42,7.58,7.5,7.58,7.58,82.83,1
Colombia,Washed / Wet,1775.0,0,3,0.11,7.83,7.5,7.5,7.42,7.5,7.5,82.83,1
"Tanzania, United Republic Of",Washed / Wet,1400.0,0,5,0.11,7.67,7.5,7.33,7.25,7.58,7.75,82.83,1
Mexico,Washed / Wet,1550.0,2,10,0.12,7.58,7.67,7.5,7.58,7.5,7.5,82.83,1
Mexico,Washed / Wet,1250.0,0,7,0.12,7.67,7.58,7.42,7.75,7.42,7.42,82.83,1
Guatemala,Washed / Wet,1310.64,0,10,0.11,7.67,7.67,7.33,7.5,7.33,7.92,82.83,1
Mexico,Washed / Wet,1380.0,0,2,0.11,7.58,7.58,7.5,7.42,7.67,7.58,82.83,1
El Salvador,Washed / Wet,1200.0,1,3,0.0,7.75,7.58,7.75,7.75,7.25,7.5,82.83,1
Guatemala,Washed / Wet,1100.0,0,3,0.1,7.5,7.58,7.42,7.67,7.58,7.5,82.75,1
Guatemala,Washed / Wet,1800.0,0,8,0.11,7.58,7.67,7.5,7.58,7.5,7.42,82.75,1
Guatemala,Washed / Wet,1700.0,0,4,0.11,7.5,7.67,7.17,7.67,7.67,7.58,82.75,1
Guatemala,Washed / Wet,1219.2,0,1,0.1,7.5,7.5,7.42,7.58,7.67,7.5,82.75,1
Guatemala,Washed / Wet,1219.2,0,1,0.1,7.42,7.58,7.42,7.67,7.5,7.5,82.75,1
Indonesia,Other,1500.0,0,15,0.12,7.5,7.58,7.42,7.58,7.58,7.5,82.75,1
Guatemala,Washed / Wet,157.8864,0,0,0.12,7.58,7.58,7.33,7.58,7.33,7.67,82.75,1
Taiwan,Natural / Dry,650.0,0,0,0.0,7.83,7.67,7.33,7.67,7.58,7.67,82.75,1
El Salvador,Washed / Wet,1250.0,0,4,0.0,7.67,7.67,7.17,7.33,7.58,7.67,82.75,1
Costa Rica,Washed / Wet,1850.0,0,1,0.09,7.58,7.5,7.42,7.67,7.42,7.5,82.75,1
Honduras,Natural / Dry,1400.0,0,6,0.09,7.58,7.5,7.42,7.58,7.5,7.5,82.75,1
Brazil,Pulped natural / honey,905.0,0,1,0.11,7.5,7.5,7.58,7.5,7.58,7.58,82.75,1
China,Natural / Dry,1100.0,0,0,0.1,7.67,7.5,7.33,7.33,7.67,7.67,82.75,1
China,Washed / Wet,1500.0,0,2,0.11,7.5,7.67,7.42,7.67,7.5,7.5,82.75,1
Colombia,Washed / Wet,1775.0,0,2,0.0,7.5,7.58,7.58,7.75,7.33,7.5,82.75,1
Malawi,Washed / Wet,1442.0,0,0,0.12,7.75,7.58,7.42,7.5,7.33,7.5,82.75,1
Guatemala,Washed / Wet,1524.0,0,2,0.13,7.75,7.42,7.25,7.75,7.5,7.67,82.75,1
Colombia,Washed / Wet,165.0,0,0,0.12,7.67,7.42,7.42,7.58,7.33,7.67,82.75,1
United States (Hawaii),Natural / Dry,1310.64,6,0,0.1,7.67,7.58,7.42,7.83,7.33,7.5,82.75,1
United States (Hawaii),Natural / Dry,1310.64,0,0,0.1,7.58,7.83,7.75,7.75,7.42,8.0,82.75,1
Colombia,Washed / Wet,1300.0,0,2,0.1,7.58,7.33,7.17,7.33,7.25,8.58,82.75,1
Mexico,Washed / Wet,1550.0,0,6,0.12,7.58,7.58,7.5,7.5,7.5,7.5,82.75,1
Mexico,Washed / Wet,1200.0,0,0,0.12,7.58,7.58,7.33,7.75,7.25,7.58,82.75,1
Mexico,Natural / Dry,1200.0,1,4,0.12,8.08,8.17,8.0,8.0,7.83,7.92,82.75,1
Colombia,Washed / Wet,1625.0,0,0,0.0,7.5,7.58,7.42,7.67,7.5,7.58,82.75,1
Colombia,Washed / Wet,1775.0,0,3,0.11,7.67,7.58,7.58,7.58,7.5,7.42,82.75,1
United States (Hawaii),Washed / Wet,1310.64,0,0,0.12,7.25,7.75,7.5,7.83,7.67,7.67,82.75,1
Panama,Washed / Wet,1100.0,0,4,0.0,7.42,7.42,7.5,7.58,7.5,7.75,82.75,1
United States (Hawaii),Washed / Wet,1310.64,0,2,0.0,7.75,7.67,7.5,7.83,7.17,7.42,82.75,1
Brazil,Natural / Dry,890.0,0,4,0.0,7.5,7.58,7.25,7.75,7.58,7.5,82.67,1
Brazil,Natural / Dry,934.0,0,3,0.11,7.5,7.58,7.5,7.67,7.5,7.42,82.67,1
Laos,Washed / Wet,1300.0,0,0,0.13,7.67,7.67,7.42,7.42,7.42,7.5,82.67,1
El Salvador,Washed / Wet,1200.0,0,7,0.0,7.67,7.67,7.67,7.67,7.5,7.67,82.67,1
Mexico,Washed / Wet,1300.0,0,3,0.11,7.5,7.67,7.42,7.75,7.42,7.17,82.67,1
Colombia,Washed / Wet,1310.64,1,9,0.0,7.75,7.5,7.33,7.58,7.33,7.75,82.67,1
Brazil,Natural / Dry,1.0,0,0,0.0,7.58,7.5,7.42,7.67,7.5,7.5,82.67,1
Brazil,Natural / Dry,1310.64,0,9,0.12,7.33,7.5,7.58,7.58,7.67,7.5,82.67,1
"Tanzania, United Republic Of",Washed / Wet,1700.0,0,0,0.12,7.5,7.5,7.5,7.5,7.5,7.58,82.67,1
"Tanzania, United Republic Of",Washed / Wet,1550.0,0,4,0.12,7.58,7.5,7.5,7.58,7.33,7.58,82.67,1
Taiwan,Washed / Wet,1200.0,0,0,0.08,8.0,7.83,7.83,7.42,7.25,7.25,82.67,1
Mexico,Natural / Dry,1296.0,0,0,0.11,7.67,7.58,7.42,7.5,7.42,7.5,82.67,1
Uganda,Washed / Wet,1650.0,0,0,0.12,7.67,7.5,7.33,7.67,7.5,7.5,82.67,1
Taiwan,Washed / Wet,1240.0,0,0,0.11,7.67,7.5,7.5,7.5,7.5,7.5,82.67,1
Thailand,Washed / Wet,1500.0,0,0,0.11,7.42,7.5,7.5,7.67,7.58,7.5,82.67,1
Colombia,Washed / Wet,1800.0,0,3,0.11,7.75,7.58,7.67,7.25,7.58,7.42,82.67,1
El Salvador,Washed / Wet,1310.64,0,17,0.0,7.92,8.0,7.5,6.75,7.92,7.58,82.67,1
Guatemala,Washed / Wet,1500.0,0,0,0.11,7.67,7.67,7.17,7.67,7.5,7.5,82.67,1
Thailand,Washed / Wet,1310.64,0,0,0.12,7.83,7.33,7.83,7.33,7.58,7.83,82.67,1
Mexico,Washed / Wet,1100.0,0,2,0.11,7.58,7.58,7.42,7.58,7.42,7.5,82.67,1
Mexico,Washed / Wet,950.0,0,0,0.12,7.5,7.58,7.58,7.58,7.42,7.42,82.67,1
Colombia,Washed / Wet,3850.0,0,0,0.11,7.33,7.58,7.42,7.42,7.67,7.67,82.67,1
United States (Hawaii),Washed / Wet,1310.64,2,0,0.03,7.83,7.67,7.5,7.67,7.5,7.58,82.67,1
Mexico,Washed / Wet,1400.0,0,1,0.0,7.75,7.58,7.25,7.75,7.67,7.58,82.67,1
Colombia,Washed / Wet,1800.0,0,3,0.08,8.08,7.67,7.67,7.33,7.33,7.17,82.67,1
Colombia,Washed / Wet,1310.64,0,2,0.21,7.5,7.42,7.33,7.33,7.67,7.83,82.67,1
Guatemala,Washed / Wet,1219.2,0,2,0.1,7.5,7.42,7.42,7.75,7.5,7.5,82.58,1
Taiwan,Pulped natural / honey,1050.0,0,0,0.11,7.67,7.42,7.5,7.42,7.58,7.5,82.58,1
Brazil,Pulped natural / honey,1310.64,0,7,0.11,7.5,7.58,7.42,7.5,7.75,7.33,82.58,1
Taiwan,Washed / Wet,200.0,0,0,0.11,7.25,7.25,7.0,7.08,7.0,7.0,82.58,1
Brazil,Washed / Wet,1310.64,1,2,0.0,7.42,7.42,7.5,7.33,7.25,7.67,82.58,1
Indonesia,Semi-washed / Semi-pulped,1250.0,0,6,0.13,7.83,7.58,7.42,7.33,7.42,7.5,82.58,1
Thailand,Washed / Wet,800.0,0,0,0.12,7.75,7.33,7.42,7.67,7.42,7.5,82.58,1
Thailand,Washed / Wet,1450.0,0,1,0.12,7.42,7.58,7.58,7.42,7.58,7.5,82.58,1
"Tanzania, United Republic Of",Washed / Wet,1317.0,0,1,0.12,7.75,7.42,7.33,7.5,7.58,7.5,82.58,1
Uganda,Natural / Dry,1650.0,0,0,0.12,7.83,7.5,7.42,7.58,7.42,7.42,82.58,1
Costa Rica,Washed / Wet,1300.0,0,3,0.11,7.67,7.42,7.5,7.67,7.0,7.75,82.58,1
Mexico,Washed / Wet,1310.64,0,11,0.0,7.58,7.58,7.42,7.75,7.67,7.67,82.58,1
Guatemala,Natural / Dry,1310.64,0,4,0.0,7.5,7.58,7.42,7.58,7.42,7.58,82.58,1
Colombia,Washed / Wet,1750.0,0,3,0.11,7.75,7.25,7.33,7.42,7.5,7.83,82.58,1
Colombia,Washed / Wet,1750.0,0,3,0.11,7.75,7.5,7.75,7.25,7.33,7.58,82.58,1
Colombia,Washed / Wet,1750.0,0,0,0.11,7.58,7.5,7.42,7.58,7.67,7.42,82.58,1
Mexico,Washed / Wet,1250.0,0,6,0.1,7.5,7.58,7.5,7.5,7.42,7.5,82.58,1
Mexico,Washed / Wet,1150.0,0,0,0.12,7.67,7.58,7.58,7.75,7.67,6.83,82.58,1
Colombia,Washed / Wet,1775.0,2,2,0.11,7.33,7.42,7.58,7.42,7.67,7.5,82.58,1
Brazil,Washed / Wet,975.0,0,4,0.0,7.58,7.5,7.33,7.75,7.5,7.5,82.58,1
Brazil,Natural / Dry,890.0,0,4,0.11,7.5,7.5,7.5,7.5,7.58,7.5,82.5,1
Indonesia,Washed / Wet,1250.0,0,5,0.11,7.83,7.75,7.25,7.5,7.42,7.33,82.5,1
Honduras,Washed / Wet,1400.0,0,4,0.1,7.58,7.58,7.33,7.5,7.5,7.5,82.5,1
Guatemala,Washed / Wet,1219.2,0,2,0.1,7.5,7.5,7.33,7.5,7.67,7.5,82.5,1
Thailand,Washed / Wet,800.0,0,0,0.12,7.5,7.83,7.5,7.75,7.33,7.42,82.5,1
Thailand,Washed / Wet,1450.0,0,0,0.11,7.33,7.5,7.5,7.5,7.67,7.5,82.5,1
"Tanzania, United Republic Of",Washed / Wet,1600.0,0,1,0.12,7.67,7.42,7.33,7.58,7.5,7.5,82.5,1
"Tanzania, United Republic Of",Washed / Wet,1310.64,0,3,0.12,7.75,7.0,7.42,7.58,7.58,7.58,82.5,1
Mexico,Washed / Wet,1600.0,0,1,0.0,7.42,7.58,7.5,7.67,7.25,7.5,82.5,1
Brazil,Semi-washed / Semi-pulped,1260.0,0,0,0.11,7.42,7.5,7.67,7.33,7.42,7.67,82.5,1
Guatemala,Washed / Wet,1310.64,0,4,0.12,7.83,7.42,7.33,7.67,7.42,7.5,82.5,1
Colombia,Washed / Wet,1750.0,0,1,0.11,7.5,7.5,7.42,7.42,7.58,7.58,82.5,1
Guatemala,Washed / Wet,1310.64,0,0,0.11,7.83,7.67,7.17,7.33,7.5,7.67,82.5,1
Mexico,Washed / Wet,1679.0,0,10,0.13,7.5,7.58,7.5,7.5,7.42,7.42,82.5,1
Mexico,Washed / Wet,1100.0,0,5,0.12,7.67,7.5,7.33,7.67,7.5,7.33,82.5,1
Mexico,Semi-washed / Semi-pulped,1650.0,0,2,0.11,7.92,7.5,7.33,7.58,7.25,7.42,82.5,1
Guatemala,Natural / Dry,1310.64,0,5,0.11,7.67,7.33,7.33,7.33,7.5,7.83,82.5,1
Brazil,Semi-washed / Semi-pulped,1250.0,0,4,0.0,7.67,7.42,7.33,7.67,7.5,7.5,82.5,1
Colombia,Washed / Wet,1775.0,1,3,0.11,7.67,7.5,7.33,7.5,7.25,7.67,82.5,1
United States (Hawaii),Washed / Wet,1310.64,2,3,0.12,7.33,7.42,7.33,7.75,7.42,7.67,82.5,1
Guatemala,Washed / Wet,1600.0,1,14,0.01,7.75,7.58,7.67,7.67,7.58,7.58,82.5,1
Honduras,Washed / Wet,1500.0,0,6,0.12,7.42,7.67,7.17,7.58,7.58,7.5,82.42,1
Guatemala,Washed / Wet,1700.0,0,2,0.1,7.58,7.5,7.33,7.75,7.33,7.5,82.42,1
Guatemala,Washed / Wet,1700.0,0,0,0.12,7.67,7.58,7.25,7.67,7.42,7.33,82.42,1
Guatemala,Washed / Wet,157.8864,0,0,0.12,7.58,7.5,7.25,7.67,7.5,7.5,82.42,1
Guatemala,Washed / Wet,1310.64,0,3,0.11,7.5,7.42,7.08,7.75,7.67,7.5,82.42,1
Colombia,Washed / Wet,1600.0,0,1,0.11,5.08,7.75,7.83,7.75,7.83,8.08,82.42,1
China,Washed / Wet,1600.0,0,0,0.1,7.67,7.42,7.42,7.5,7.42,7.42,82.42,1
Brazil,Washed / Wet,1310.64,0,0,0.11,7.42,7.5,7.33,7.5,7.25,7.42,82.42,1
"Tanzania, United Republic Of",Washed / Wet,2285.0,0,7,0.13,7.67,7.25,7.42,7.42,7.67,7.42,82.42,1
Brazil,Natural / Dry,1.0,0,0,0.0,7.17,7.83,7.33,7.5,7.75,7.42,82.42,1
Guatemala,Washed / Wet,1400.0,0,0,0.1,7.5,7.5,7.5,7.67,7.42,7.5,82.42,1
Mexico,Washed / Wet,1296.0,0,0,0.11,7.42,7.5,7.42,7.58,7.42,7.5,82.42,1
Brazil,Semi-washed / Semi-pulped,1000.0,0,1,0.12,7.58,7.67,7.33,7.5,7.5,7.42,82.42,1
Peru,Washed / Wet,1310.64,0,3,0.0,7.58,7.58,7.58,7.75,7.5,7.58,82.42,1
Brazil,Natural / Dry,1260.0,0,0,0.0,7.25,7.33,7.25,7.5,7.42,7.5,82.42,1
Mexico,Washed / Wet,1170.0,0,0,0.12,7.5,7.58,7.5,7.92,7.42,7.67,82.42,1
Honduras,Washed / Wet,1310.64,0,2,0.09,7.25,7.67,7.42,7.17,7.75,7.5,82.42,1
Colombia,Washed / Wet,1775.0,0,9,0.11,7.67,7.42,7.33,7.5,7.58,7.5,82.42,1
Mexico,Washed / Wet,1560.0,0,5,0.12,7.5,7.42,7.42,7.67,7.42,7.58,82.42,1
Mexico,Semi-washed / Semi-pulped,1400.0,0,2,0.13,7.42,7.58,7.5,7.42,7.58,7.5,82.42,1
Mexico,Washed / Wet,1300.0,0,9,0.14,7.42,7.58,7.33,7.58,7.5,7.5,82.42,1
Mexico,Washed / Wet,1170.0,0,1,0.13,7.75,7.33,7.25,7.58,7.58,7.33,82.42,1
Mexico,Washed / Wet,1300.0,0,0,0.11,7.5,7.58,7.33,7.5,7.5,7.5,82.42,1
Mexico,Washed / Wet,1350.0,0,6,0.14,7.58,7.58,7.17,7.5,7.5,7.5,82.42,1
Mexico,Washed / Wet,1150.0,0,0,0.11,7.58,7.33,7.33,7.58,7.5,7.5,82.42,1
Mexico,Washed / Wet,1250.0,0,4,0.13,7.67,7.58,7.33,7.42,7.58,7.33,82.42,1
Mexico,Washed / Wet,1450.0,0,0,0.12,7.83,7.5,7.42,7.67,7.17,7.33,82.42,1
Colombia,Natural / Dry,442.0,0,2,0.0,7.67,7.33,7.25,7.42,7.5,7.67,82.42,1
Brazil,Natural / Dry,1310.64,0,2,0.11,7.75,7.5,7.42,7.42,7.5,7.42,82.42,1
Colombia,Washed / Wet,1750.0,0,2,0.0,7.33,7.58,7.17,7.58,7.42,7.58,82.42,1
Colombia,Washed / Wet,1750.0,0,1,0.02,7.58,7.25,7.42,7.25,7.58,7.83,82.42,1
Honduras,Washed / Wet,1396.0,0,8,0.1,7.5,7.58,7.33,7.5,7.42,7.42,82.33,1
Brazil,Natural / Dry,982.0,0,11,0.11,7.33,7.5,7.5,7.33,7.5,7.5,82.33,1
Brazil,Natural / Dry,1310.64,0,14,0.11,7.42,7.42,7.42,7.5,7.5,7.58,82.33,1
Brazil,Natural / Dry,934.0,0,3,0.11,7.5,7.5,7.42,7.5,7.42,7.5,82.33,1
Costa Rica,Washed / Wet,1850.0,6,3,0.1,7.75,7.5,7.25,7.25,7.42,7.67,82.33,1
Costa Rica,Washed / Wet,1550.0,0,0,0.0,7.75,7.33,7.5,7.5,7.33,7.58,82.33,1
China,Pulped natural / honey,1580.0,0,2,0.12,7.5,7.58,7.42,7.5,7.42,7.42,82.33,1
Brazil,Natural / Dry,1268.0,0,0,0.07,8.25,7.83,7.25,8.33,8.17,8.08,82.33,1
Brazil,Natural / Dry,1310.64,0,10,0.11,7.42,7.5,7.5,7.42,7.5,7.58,82.33,1
Guatemala,Washed / Wet,1676.4,0,6,0.1,7.5,7.42,7.17,7.83,7.5,7.5,82.33,1
Malawi,Washed / Wet,1450.0,0,0,0.12,7.33,7.58,7.42,7.58,7.33,7.5,82.33,1
Brazil,Natural / Dry,1100.0,0,0,0.11,7.75,8.08,7.67,8.08,8.08,8.0,82.33,1
Guatemala,Washed / Wet,1524.0,0,3,0.12,7.58,7.67,7.5,7.58,7.75,7.5,82.33,1
Mexico,Washed / Wet,1310.64,0,0,0.11,7.33,7.58,7.42,7.5,7.5,7.5,82.33,1
Colombia,Washed / Wet,1300.0,0,2,0.1,7.42,7.33,7.5,7.17,7.08,8.33,82.33,1
Taiwan,Semi-washed / Semi-pulped,200.0,0,0,0.11,7.5,7.5,7.5,7.5,7.5,7.5,82.33,1
Taiwan,Washed / Wet,600.0,0,0,0.11,7.5,7.5,7.5,7.5,7.5,7.5,82.33,1
Guatemala,Washed / Wet,1310.64,2,1,0.12,7.5,7.42,7.58,7.5,7.5,7.58,82.33,1
Colombia,Washed / Wet,1750.0,0,1,0.0,7.5,7.42,7.5,7.5,7.5,7.58,82.33,1
Mexico,Washed / Wet,1300.0,0,3,0.12,7.67,7.5,7.42,7.5,7.42,7.42,82.33,1
Costa Rica,Washed / Wet,1310.64,0,14,0.0,7.92,7.58,7.25,7.75,7.92,7.58,82.33,1
Guatemala,Washed / Wet,1752.6,0,3,0.11,7.67,7.5,7.33,7.67,7.5,7.33,82.33,1
Mexico,Natural / Dry,441.0,1,8,0.15,7.58,7.67,7.58,7.33,7.0,7.58,82.33,1
Mexico,Washed / Wet,1170.0,0,9,0.13,7.67,7.58,7.5,7.58,7.5,7.5,82.33,1
